"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Gross domestic product (GDP) at basic prices, by industry, provinces and territories","36100711",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610071101",1;2;3;5,"CURRENT - a cube available to the public and that is current","Annual","1997-01-01","2024-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Prices",,""
"3","North American Industry Classification System (NAICS)",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"3","Non-metallic mineral mining and quarrying","[2123]","39","32","",,
"3","Iron ore mining","[21221]","35","34","",,
"3","Gold and silver ore mining","[21222]","36","34","",,
"3","Copper, nickel, lead and zinc ore mining","[21223]","37","34","",,
"3","Other metal ore mining","[21229]","38","34","",,
"3","Stone mining and quarrying","[21231]","40","39","",,
"3","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","[21232]","41","39","",,
"3","Other non-metallic mineral mining and quarrying","[21239]","42","39","",,
"3","Other non-metallic mineral mining and quarrying (except potash)","[21239X]","43","42","",6,
"3","Potash mining","[212396]","44","42","",,
"3","Support activities for oil and gas extraction","[21311A]","46","45","",6,
"3","Support activities for mining","[21311B]","47","45","",6,
"3","Electric power generation, transmission and distribution","[2211]","49","48","",,
"3","Natural gas distribution","[2212]","50","48","",,
"3","Water, sewage and other systems","[2213]","51","48","",,
"3","Residential building construction","[23A]","53","52","",6;9,
"3","Non-residential building construction","[23B]","54","52","",6;9,
"3","Engineering and other construction activities","[23X]","55","52","",6;9,
"3","Repair construction","[23D]","56","52","",6;9,
"3","Food manufacturing","[311]","58","57","",,
"3","Beverage and tobacco product manufacturing","[312]","68","57","",,
"3","Textile, clothing and leather product manufacturing","[31X]","73","57","",6,
"3","Wood product manufacturing","[321]","74","57","",,
"3","Paper manufacturing","[322]","78","57","",,
"3","Printing and related support activities","[323]","81","57","",,
"3","Petroleum and coal product manufacturing","[324]","82","57","",,
"3","Chemical manufacturing","[325]","85","57","",,
"3","Plastics and rubber products manufacturing","[326]","92","57","",,
"3","Non-metallic mineral product manufacturing","[327]","93","57","",,
"3","Primary metal manufacturing","[331]","94","57","",,
"3","Fabricated metal product manufacturing","[332]","100","57","",,
"3","Machinery manufacturing","[333]","101","57","",,
"3","Computer and electronic product manufacturing","[334]","102","57","",,
"3","Electrical equipment, appliance and component manufacturing","[335]","103","57","",,
"3","Transportation equipment manufacturing","[336]","104","57","",,
"3","Furniture and related product manufacturing","[337]","113","57","",,
"3","Miscellaneous manufacturing","[339]","114","57","",,
"3","Animal food manufacturing","[3111]","59","58","",,
"3","Grain and oilseed milling","[3112]","60","58","",,
"3","Sugar and confectionery product manufacturing","[3113]","61","58","",,
"3","Fruit and vegetable preserving and specialty food manufacturing","[3114]","62","58","",,
"3","Dairy product manufacturing","[3115]","63","58","",,
"3","Meat product manufacturing","[3116]","64","58","",,
"3","Seafood product preparation and packaging","[3117]","65","58","",,
"3","Bakeries and tortilla manufacturing","[3118]","66","58","",,
"3","Other food manufacturing","[3119]","67","58","",,
"3","Soft drink and ice manufacturing","[31211]","69","68","",,
"3","Breweries","[31212]","70","68","",,
"3","Wineries and distilleries","[3121A]","71","68","",6,
"3","Tobacco and cannabis product manufacturing","[312A]","72","68","",6,
"3","Sawmills and wood preservation","[3211]","75","74","",,
"3","Veneer, plywood and engineered wood product manufacturing","[3212]","76","74","",,
"3","Other wood product manufacturing","[3219]","77","74","",,
"3","Pulp, paper and paperboard mills","[3221]","79","78","",,
"3","Converted paper product manufacturing","[3222]","80","78","",,
"3","Petroleum refineries","[32411]","83","82","",,
"3","Petroleum and coal product manufacturing (except petroleum refineries)","[3241A]","84","82","",6,
"3","Basic chemical manufacturing","[3251]","86","85","",,
"3","Miscellaneous chemical product manufacturing","[325C]","87","85","",6,
"3","Pesticide, fertilizer and other agricultural chemical manufacturing","[3253]","90","85","",,
"3","Pharmaceutical and medicine manufacturing","[3254]","91","85","",,
"3","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing","[3252]","88","87","",,
"3","Other miscellaneous chemical product manufacturing","[325A]","89","87","",6,
"3","Iron and steel mills and ferro-alloy manufacturing","[3311]","95","94","",,
"3","Steel product manufacturing from purchased steel","[3312]","96","94","",,
"3","Alumina and aluminum production and processing","[3313]","97","94","",,
"3","Non-ferrous metal (except aluminum) production and processing","[3314]","98","94","",,
"3","Foundries","[3315]","99","94","",,
"3","Motor vehicles and parts manufacturing","[336Y]","105","104","",6,
"3","Aerospace product and parts manufacturing","[3364]","109","104","",,
"3","Railroad rolling stock manufacturing","[3365]","110","104","",,
"3","Ship and boat building","[3366]","111","104","",,
"3","Other transportation equipment manufacturing","[3369]","112","104","",,
"3","Motor vehicle manufacturing","[3361]","106","105","",,
"3","Motor vehicle body and trailer manufacturing","[3362]","107","105","",,
"3","Motor vehicle parts manufacturing","[3363]","108","105","",,
"3","Medical equipment and supplies manufacturing","[3391]","115","114","",,
"3","Other miscellaneous manufacturing","[3399]","116","114","",,
"3","Farm product merchant wholesalers","[411]","118","117","",,
"3","Petroleum, petroleum products, and other hydrocarbons merchant wholesalers","[412]","119","117","",,
"3","Food, beverage and tobacco merchant wholesalers","[413]","120","117","",,
"3","Personal and household goods merchant wholesalers","[414]","121","117","",,
"3","Motor vehicle and motor vehicle parts and accessories merchant wholesalers","[415]","122","117","",,
"3","Building material and supplies merchant wholesalers","[416]","123","117","",,
"3","Machinery, equipment and supplies merchant wholesalers","[417]","124","117","",,
"3","Miscellaneous merchant wholesalers","[418]","125","117","",,
"3","Business-to-business electronic markets, and agents and brokers","[419]","126","117","",,
"3","Motor vehicle and parts dealers","[441]","128","127","",,
"3","Building material and garden equipment and supplies dealers","[444]","129","127","",,
"3","Food and beverage retailers","[445]","130","127","",,
"3","Furniture, home furnishings, electronics and appliances retailers","[449]","131","127","",,
"3","General merchandise retailers","[455]","132","127","",,
"3","Health and personal care retailers","[456]","133","127","",,
"3","Gasoline stations and fuel vendors","[457]","134","127","",,
"3","Clothing, clothing accessories, shoes, jewelry, luggage and leather goods retailers","[458]","135","127","",,
"3","Sporting goods, hobby, musical instrument, book, and miscellaneous retailers","[459]","136","127","",,
"3","Sporting goods, hobby, musical instrument, book and miscellaneous retailers (except cannabis)","[459A]","137","136","",6,
"3","Cannabis retailers (licensed)","[459BL]","138","136","",6;10,
"3","Cannabis retailers (unlicensed)","[459BU]","139","136","",6;11,
"3","Air transportation","[481]","142","141","",,
"3","Rail transportation","[482]","143","141","",,
"3","Water transportation","[483]","144","141","",,
"3","Truck transportation","[484]","145","141","",,
"3","Transit, ground passenger and scenic and sightseeing transportation","[48Z]","146","141","",6,
"3","Pipeline transportation","[486]","150","141","",,
"3","Support activities for transportation","[488]","153","141","",,
"3","Postal service, couriers and messengers","[49A]","154","141","",6,
"3","Warehousing and storage","[493]","157","141","",,
"3","Urban transit systems","[4851]","147","146","",,
"3","Other transit and ground passenger transportation and scenic and sightseeing transportation","[48A]","148","146","",6,
"3","Taxi and limousine service","[4853]","149","146","",,
"3","Crude oil and other pipeline transportation","[486A]","151","150","",6,
"3","Pipeline transportation of natural gas","[4862]","152","150","",,
"3","Postal service","[491]","155","154","",,
"3","Couriers and messengers","[492]","156","154","",,
"3","Motion picture and sound recording industries","[512]","159","158","",,
"3","Publishing industries","[513]","162","158","",,
"3","Broadcasting and content providers","[516]","165","158","",,
"3","Telecommunications","[517]","168","158","",,
"3","Computing infrastructure providers, data processing, web hosting, and related services","[518]","169","158","",,
"3","Web search portals, libraries, archives, and all other information services","[519]","170","158","",,
"3","Motion picture and video industries","[5121]","160","159","",12,
"3","Sound recording industries","[5122]","161","159","",,
"3","Newspaper, periodical, book and directory publishers","[5131]","163","162","",,
"3","Software publishers","[5132]","164","162","",,
"3","Radio and television broadcasting stations","[5161]","166","165","",,
"3","Media streaming distribution services, and other media networks and content providers","[5162]","167","165","",,
"3","Insurance carriers","[5241]","180","172","",,
"3","Banking, monetary authorities and other depository credit intermediation","[52BX]","173","172","",6,
"3","Credit unions","[522B]","174","172","",6,
"3","Other finance and insurance","[52E]","175","172","",6,
"3","Non-depository credit intermediation","[5222]","176","175","",,
"3","Financial auxiliaries","[52C]","177","175","",6,
"3","Other financial intermediaries","[52D]","178","175","",6,
"3","Funds and other financial vehicles (except securitization vehicles)","[526A]","179","175","",6,
"3","Real estate","[531]","182","181","",,
"3","Rental and leasing services","[532]","186","181","",,
"3","Lessors of non-financial intangible assets (except copyrighted works)","[533]","189","181","",,
"3","Lessors of real estate","[5311]","183","182","",,
"3","Offices of real estate agents and brokers and activities related to real estate","[531A]","184","182","",6,
"3","Owner-occupied dwellings","[5311A]","185","182","",13,
"3","Automotive equipment rental and leasing","[5321]","187","186","",,
"3","Rental and leasing services (except automotive equipment)","[532A]","188","186","",6,
"3","Legal, accounting and related services","[541A]","192","191","",6,
"3","Architectural, engineering and related services","[5413]","195","191","",,
"3","Other professional, scientific and technical services including scientific research and development","[541B]","196","191","",6,
"3","Computer systems design and related services","[5415]","201","191","",,
"3","Advertising, public relations, and related services","[5418]","202","191","",,
"3","Legal services","[5411]","193","192","",,
"3","Accounting, tax preparation, bookkeeping and payroll services","[5412]","194","192","",,
"3","Specialized design services","[5414]","197","196","",,
"3","Management, scientific and technical consulting services","[5416]","198","196","",,
"3","Scientific research and development services","[5417]","199","196","",,
"3","Other professional, scientific and technical services","[5419]","200","196","",,
"3","Administrative and support services","[561]","205","204","",,
"3","Waste management and remediation services","[562]","214","204","",,
"3","Other administrative and support services","[561B]","206","205","",6,
"3","Travel arrangement and reservation services","[5615]","211","205","",,
"3","Investigation and security services","[5616]","212","205","",,
"3","Services to buildings and dwellings","[5617]","213","205","",,
"3","Office administrative services","[5611]","207","206","",,
"3","Facilities and other support services","[561A]","208","206","",6,
"3","Employment services","[5613]","209","206","",,
"3","Business support services","[5614]","210","206","",,
"3","Elementary and secondary schools","[6111]","216","215","",,
"3","Community colleges and C.E.G.E.P.s","[6112]","217","215","",,
"3","Universities","[6113]","218","215","",,
"3","Other educational services","[611A]","219","215","",6,
"3","Health care","[62X]","221","220","",6,
"3","Social assistance","[624]","225","220","",,
"3","Ambulatory health care services","[621]","222","221","",,
"3","Hospitals","[622]","223","221","",,
"3","Nursing and residential care facilities","[623]","224","221","",,
"3","Performing arts, spectator sports and related industries, and heritage institutions","[71A]","227","226","",6,
"3","Amusement, gambling and recreation industries","[713]","228","226","",,
"3","Amusement and recreation industries","[713A]","229","228","",6,
"3","Gambling industries","[7132]","230","228","",,
"3","Accommodation services","[721]","232","231","",,
"3","Food services and drinking places","[722]","233","231","",,
"3","Repair and maintenance","[811]","235","234","",,
"3","Personal and laundry services","[812]","238","234","",,
"3","Religious, grant-making, civic, and professional and similar organizations","[813]","239","234","",,
"3","Private households","[814]","240","234","",,
"3","Automotive repair and maintenance","[8111]","236","235","",,
"3","Repair and maintenance (except automotive)","[811A]","237","235","",6,
"3","Federal government public administration","[911]","242","241","",,
"3","Provincial and territorial public administration","[912]","245","241","",,
"3","Local, municipal and regional public administration","[913]","246","241","",,
"3","Indigenous public administration","[914]","247","241","",,
"3","Defence services","[9111]","243","242","",,
"3","Federal government public administration (except defence)","[911A]","244","242","",6,
"3","All industries","[T001]","1","","",6,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"1303","Gross Domestic Product by Industry - Provincial and Territorial (Annual)"

"Subject Code","Subject Name"
"36","Economic accounts"

"Note ID",Note
1,"This table replaces table 36-10-0402. Data in this table are not fully comparable with those previously published."
2,"For the chained dollars, the aggregates are not equal to the sum of their components."
3,"The chained dollars are not intended for use in analyzing shares or levels, as they do not represent the nominal structure of the economy or nominal gross domestic product (GDP). The chained dollars GDP estimates are based on the Fisher volume index and are useful for analyzing trends or growth rates. For share or level analysis, use current dollars GDP estimates, as they represent the nominal structure of the economy."
4,"Contributions to percentage change (CPC) in real gross domestic product (GDP) show how much each industry contributed to the total percent increase or decrease in GDP of a province or territory's economy. These should not be interpreted as proportions of GDP. They are presented directly as a contribution in percentage points of the underlying components to the total economy. For additional information, please consult: <a href="https://www.statcan.gc.ca/en/statistical-programs/document/1303_D10_V2" rel="external noopener noreferrer" target="_blank">Contributions to percent change (opens new window)</a>."
5,"With November 6, 2025 release, the provincial and territorial gross domestic product (GDP) by industry adopted the <a href="https://www.statcan.gc.ca/en/subjects/standard/naics/2022/v1/index" rel="external noopener noreferrer" target="_blank">North American Industry Classification System (NAICS) Canada 2022 version 1.0 (opens new window)</a>."
6,"The alphanumeric code represents an aggregation of North American Industry Classification System (NAICS) industries, whose definition is available in the <a href="https://www.statcan.gc.ca/en/statistical-programs/document/1303_D7_V4" rel="external noopener noreferrer" target="_blank">Gross domestic product (GDP) by industry, Industry code concordance (opens new window)</a>."
7,"Industry 111CL covers only licensed cannabis producers in the North American Industry Classification System (NAICS) codes 111412 and 111995."
8,"Industry 111CU covers only unlicensed cannabis producers in the North American Industry Classification System (NAICS) codes 111412 and 111995."
9,"Industries in sector 23 are special hybrids that correspond to sections of the North American Industry Classification System (NAICS) code 23."
10,"Industry 459BL covers only licensed cannabis retailers in the North American Industry Classification System (NAICS) code 459993."
11,"Industry 459BU covers only unlicensed cannabis retailers in the North American Industry Classification System (NAICS) code 459993."
12,"Statistical breaks were introduced for industry 5121 estimates in reference years 2014 and 2015 resulting from refinements to the provincial allocation process. Users are advised to use caution when examining growth rates."
13,"Owner-occupied dwellings (industry 5311A) is defined as resident households who own the dwelling where they reside and who are considered for purpose of the National Accounts to receive an income in kind equivalent to the market rental value of their dwelling."

"Correction ID","Correction Date","Correction Note"
